method,query_column,num_queries,num_audio_candidates,ExactRecall@1,ExactRecall@5,ExactRecall@10,MRR,MoodHit@5,GenreHit@5
direct_screenplay,input_screenplay,300,1000,0.0033333334140479565,0.006666666828095913,0.023333333432674408,0.013454296755841696,0.3333333333333333,0.674496644295302
oracle_target_music_description,target_text,300,1000,0.0,0.019999999552965164,0.03999999910593033,0.02122694141047954,0.4266666666666667,0.8456375838926175
finetuned_generated_music_description,predicted_music_description,300,1000,0.0,0.006666666828095913,0.01666666753590107,0.009167909031830332,0.24333333333333335,0.6442953020134228
