experiment,dataset,model,query,target,ExactRecall@1,ExactRecall@5,ExactRecall@10,MRR,MoodHit@5,GenreHit@5,notes
text_baseline_v1,mtg_subset.csv,sentence-transformers/all-MiniLM-L6-v2,scene_text,music_description,0.06,0.139,0.211,0.1159959517365361,,,first text-only retrieval baseline
text_eval_v2,mtg_subset.csv,sentence-transformers/all-MiniLM-L6-v2,scene_text,music_description,0.06,0.139,0.211,0.1159959517365361,0.44,0.7313131313131314,text-only retrieval with tag-level metrics
clap_text_retrieval_v1,mtg_subset.csv,laion/clap-htsat-fused,scene_text,music_description,0.0099999997764825,0.0350000001490116,0.0680000036954879,0.032815380598195,0.496,0.7292929292929293,CLAP text encoder baseline; text-to-text only
clap_audio_debug_v1,debug_audio_subset.csv,laion/clap-htsat-fused,scene_text,MTG-Jamendo audio-low,0.050000000745058,0.3499999940395355,,,0.55,0.7894736842105263,first successful CLAP text-to-audio retrieval debug run; 20 examples only
