method,num_queries,num_audio_candidates,ExactRecall@1,ExactRecall@5,ExactRecall@10,MRR,MoodHit@5,GenreHit@5
direct_screenplay,300,1000,0.0,0.009999999776482582,0.01666666753590107,0.0112277850545753,0.3433333333333333,0.6677852348993288
finetuned_generated_description,300,1000,0.006666666828095913,0.01666666753590107,0.023333333432674408,0.01822095398447044,0.41,0.6778523489932886
oracle_target_description,300,1000,0.006666666828095913,0.013333333656191826,0.02666666731238365,0.020938674774139614,0.47333333333333333,0.8322147651006712
score_fusion_alpha_0.00_direct,300,1000,0.006666666828095913,0.01666666753590107,0.023333333432674408,0.01822095398447044,0.41,0.6778523489932886
score_fusion_alpha_0.25_direct,300,1000,0.006666666828095913,0.009999999776482582,0.023333333432674408,0.01738098063718291,0.4533333333333333,0.7281879194630873
score_fusion_alpha_0.50_direct,300,1000,0.0033333334140479565,0.013333333656191826,0.029999999329447746,0.017071818523068067,0.45666666666666667,0.7785234899328859
score_fusion_alpha_0.75_direct,300,1000,0.0033333334140479565,0.023333333432674408,0.03333333507180214,0.017530186759637762,0.4666666666666667,0.785234899328859
score_fusion_alpha_1.00_direct,300,1000,0.0,0.009999999776482582,0.01666666753590107,0.0112277850545753,0.3433333333333333,0.6677852348993288
