method,num_queries,num_audio_candidates,ExactRecall@1,ExactRecall@5,ExactRecall@10,MRR,MoodHit@5,GenreHit@5
direct_screenplay,300,1000,0.0033333334140479565,0.006666666828095913,0.023333333432674408,0.013454296755841696,0.3333333333333333,0.674496644295302
finetuned_generated_description,300,1000,0.0,0.006666666828095913,0.01666666753590107,0.009167909031830332,0.24333333333333335,0.6442953020134228
oracle_target_description,300,1000,0.0,0.019999999552965164,0.03999999910593033,0.02122694141047954,0.4266666666666667,0.8456375838926175
score_fusion_alpha_0.00_direct,300,1000,0.0,0.006666666828095913,0.01666666753590107,0.009167909031830332,0.24333333333333335,0.6442953020134228
score_fusion_alpha_0.25_direct,300,1000,0.0,0.009999999776482582,0.013333333656191826,0.01038420676202058,0.3,0.6879194630872483
score_fusion_alpha_0.50_direct,300,1000,0.0,0.013333333656191826,0.019999999552965164,0.01219185006954928,0.29333333333333333,0.6476510067114094
score_fusion_alpha_0.75_direct,300,1000,0.0,0.009999999776482582,0.023333333432674408,0.011464698286650319,0.35,0.6442953020134228
score_fusion_alpha_1.00_direct,300,1000,0.0033333334140479565,0.006666666828095913,0.023333333432674408,0.013454296755841696,0.3333333333333333,0.674496644295302
