epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.11428571428571428,8.406146049499512,4.8642857142857145e-05,7.1814727783203125,20,,,,,,,,
0.22857142857142856,7.028401851654053,4.721428571428572e-05,4.641953659057617,40,,,,,,,,
0.34285714285714286,4.525500774383545,4.5785714285714285e-05,2.8438011169433595,60,,,,,,,,
0.45714285714285713,3.5706307888031006,4.435714285714286e-05,2.018950080871582,80,,,,,,,,
0.5714285714285714,2.2552571296691895,4.292857142857143e-05,1.7104793548583985,100,,,,,,,,
0.6857142857142857,2.5693228244781494,4.15e-05,1.5465762138366699,120,,,,,,,,
0.8,1.9058330059051514,4.007142857142857e-05,1.4578584671020507,140,,,,,,,,
0.9142857142857143,2.246182680130005,3.8642857142857146e-05,1.3890263557434082,160,,,,,,,,
1.0,,,,175,0.569939136505127,0.2314,0.2122,0.2316,0.2331,163.5684,1.834,0.459
1.0285714285714285,2.1972787380218506,3.721428571428572e-05,1.3311952590942382,180,,,,,,,,
1.1428571428571428,2.2966933250427246,3.5785714285714286e-05,1.2506137847900392,200,,,,,,,,
1.2571428571428571,2.0345981121063232,3.435714285714286e-05,1.2129356384277343,220,,,,,,,,
1.3714285714285714,2.032799243927002,3.292857142857143e-05,1.1997267723083496,240,,,,,,,,
1.4857142857142858,2.2514374256134033,3.15e-05,1.1947257041931152,260,,,,,,,,
1.6,2.2833008766174316,3.0071428571428573e-05,1.1957977294921875,280,,,,,,,,
1.7142857142857144,2.0148870944976807,2.8642857142857144e-05,1.1143391609191895,300,,,,,,,,
1.8285714285714287,1.98792564868927,2.7214285714285714e-05,1.167965030670166,320,,,,,,,,
1.9428571428571428,2.378178596496582,2.5785714285714284e-05,1.0981552124023437,340,,,,,,,,
2.0,,,,350,0.4741162061691284,0.0047,0.0,0.0047,0.0047,164.1971,1.827,0.457
2.057142857142857,2.4740476608276367,2.4357142857142857e-05,1.0810201644897461,360,,,,,,,,
2.1714285714285713,2.117112874984741,2.292857142857143e-05,1.0316493034362793,380,,,,,,,,
2.2857142857142856,2.0458984375,2.15e-05,1.023993682861328,400,,,,,,,,
2.4,2.128796339035034,2.007142857142857e-05,1.032698631286621,420,,,,,,,,
2.5142857142857142,2.311274528503418,1.864285714285714e-05,1.1046622276306153,440,,,,,,,,
2.6285714285714286,2.19891095161438,1.7214285714285715e-05,1.0561943054199219,460,,,,,,,,
2.742857142857143,1.8330469131469727,1.5785714285714288e-05,1.0199209213256837,480,,,,,,,,
2.857142857142857,2.5353376865386963,1.4357142857142858e-05,1.0049853324890137,500,,,,,,,,
2.9714285714285715,2.074455738067627,1.2928571428571428e-05,1.0072711944580077,520,,,,,,,,
3.0,,,,525,0.44343802332878113,0.033,0.027,0.0328,0.0329,164.1507,1.828,0.457
3.085714285714286,1.8653006553649902,1.1500000000000002e-05,1.0057008743286133,540,,,,,,,,
3.2,2.5276687145233154,1.0071428571428572e-05,0.9787458419799805,560,,,,,,,,
3.314285714285714,2.0847933292388916,8.642857142857144e-06,0.9872795104980469,580,,,,,,,,
3.4285714285714284,2.156320095062256,7.214285714285715e-06,0.9982357978820801,600,,,,,,,,
3.5428571428571427,1.818790078163147,5.785714285714286e-06,0.9664983749389648,620,,,,,,,,
3.657142857142857,2.1779091358184814,4.357142857142857e-06,0.9252995491027832,640,,,,,,,,
3.7714285714285714,2.754931926727295,2.9285714285714287e-06,0.9844978332519532,660,,,,,,,,
3.8857142857142857,1.9477810859680176,1.5e-06,0.978542709350586,680,,,,,,,,
4.0,2.2237184047698975,7.142857142857144e-08,0.9939336776733398,700,,,,,,,,
4.0,,,,700,0.4351155161857605,0.0496,0.0425,0.0488,0.0494,164.1137,1.828,0.457
